db_id|question|generated_sql_query|gold_sql_query
concert_singer|How many singers do we have?|select count(*) from singer;|select count(*) from singer
concert_singer|What is the total number of singers?|select count(*) from singer;|select count(*) from singer
concert_singer|Show name, country, age for all singers ordered by age from the oldest to the youngest.|select name, country, age from singer order by age desc;|select name , country , age from singer order by age desc
concert_singer|What are the names, countries, and ages for every singer in descending order of age?|select name, country, age from singer order by age desc;|select name , country , age from singer order by age desc
concert_singer|What is the average, minimum, and maximum age of all singers from France?|select avg(age) as averageage, min(age) as minimumage, max(age) as maximumage from singer where country = 'france';|select avg(age) , min(age) , max(age) from singer where country = 'france'
concert_singer|What is the average, minimum, and maximum age for all French singers?|select avg(age) as average_age, min(age) as minimum_age, max(age) as maximum_age from singer where country = 'france';|select avg(age) , min(age) , max(age) from singer where country = 'france'
concert_singer|Show the name and the release year of the song by the youngest singer.|select s.name, s.song_release_year from singer as s where s.age = (select min(age) from singer);|select song_name , song_release_year from singer order by age limit 1
concert_singer|What are the names and release years for all the songs of the youngest singer?|select song_name, song_release_year from singer where age = (select min(age) from singer);|select song_name , song_release_year from singer order by age limit 1
concert_singer|What are all distinct countries where singers above age 20 are from?|select distinct country from singer where age > 20;|select distinct country from singer where age > 20
concert_singer|What are  the different countries with singers above age 20?|select distinct country from singer where age > 20;|select distinct country from singer where age > 20
concert_singer|Show all countries and the number of singers in each country.|select country, count(*) as number_of_singers from singer group by country;|select country , count(*) from singer group by country
concert_singer|How many singers are from each country?|select country, count(*) as number_of_singers from singer group by country;|select country , count(*) from singer group by country
concert_singer|List all song names by singers above the average age.|select t2.song_name from singer as t1 inner join singer_in_concert as t3 on t1.singer_id = t3.singer_id inner join concert as t4 on t3.concert_id = t4.concert_id inner join stadium as t5 on t4.stadium_id = t5.stadium_id inner join singer as t2 on t1.singer_id = t2.singer_id where t1.age > ( select avg(age) from singer );|select song_name from singer where age > (select avg(age) from singer)
concert_singer|What are all the song names by singers who are older than average?|select t2.song_name from singer as t1 inner join singer_in_concert as t3 on t1.singer_id = t3.singer_id inner join concert as t4 on t3.concert_id = t4.concert_id inner join stadium as t5 on t4.stadium_id = t5.stadium_id inner join singer as t2 on t1.singer_id = t2.singer_id where t1.age > ( select avg(age) from singer );|select song_name from singer where age > (select avg(age) from singer)
concert_singer|Show location and name for all stadiums with a capacity between 5000 and 10000.|select location, name from stadium where capacity between 5000 and 10000;|select location , name from stadium where capacity between 5000 and 10000
concert_singer|What are the locations and names of all stations with capacity between 5000 and 10000?|select location, name from stadium where capacity between 5000 and 10000;|select location , name from stadium where capacity between 5000 and 10000
concert_singer|What is the maximum capacity and the average of all stadiums ?|select max(capacity), avg(capacity) from stadium;|select max(capacity), average from stadium
concert_singer|What is the average and maximum capacities for all stadiums ?|select avg(capacity), max(capacity) from stadium;|select avg(capacity) , max(capacity) from stadium
concert_singer|What is the name and capacity for the stadium with highest average attendance?|select t1.name, t1.capacity from stadium as t1 order by t1.average desc limit 1;|select name , capacity from stadium order by average desc limit 1
concert_singer|What is the name and capacity for the stadium with the highest average attendance?|select t1.name, t1.capacity from stadium as t1 order by t1.average desc limit 1;|select name , capacity from stadium order by average desc limit 1
concert_singer|How many concerts are there in year 2014 or 2015?|select count(*) from concert where year = '2014' or year = '2015';|select count(*) from concert where year = 2014 or year = 2015
concert_singer|How many concerts occurred in 2014 or 2015?|select count(distinct concert_id) from concert where year = '2014' or year = '2015';|select count(*) from concert where year = 2014 or year = 2015
concert_singer|Show the stadium name and the number of concerts in each stadium.|select s.name, count(c.stadium_id) as number_of_concerts from stadium as s join concert as c on s.stadium_id = c.stadium_id group by s.name;|select t2.name , count(*) from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id group by t1.stadium_id
concert_singer|For each stadium, how many concerts play there?|select stadium_id, count(concert_id) as numberofconcerts from concert group by stadium_id;|select t2.name , count(*) from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id group by t1.stadium_id
concert_singer|Show the stadium name and capacity with most number of concerts in year 2014 or after.|select s.name, s.capacity from stadium as s join concert as c on s.stadium_id = c.stadium_id where c.year >= '2014' group by s.stadium_id order by count(c.concert_id) desc limit 1;|select t2.name , t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where t1.year >= 2014 group by t2.stadium_id order by count(*) desc limit 1
concert_singer|What is the name and capacity of the stadium with the most concerts after 2013 ?|select s.name, s.capacity from stadium as s join concert as c on s.stadium_id = c.stadium_id where c.year > '2013' group by s.stadium_id order by count(c.concert_id) desc limit 1;|select t2.name , t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where t1.year > 2013 group by t2.stadium_id order by count(*) desc limit 1
concert_singer|Which year has most number of concerts?|select year, count(*) as concertcount from concert group by year order by concertcount desc limit 1;|select year from concert group by year order by count(*) desc limit 1
concert_singer|What is the year that had the most concerts?|select year, count(*) as concertcount from concert group by year order by concertcount desc limit 1;|select year from concert group by year order by count(*) desc limit 1
concert_singer|Show the stadium names without any concert.|select t1.name from stadium as t1 except select t2.name from stadium as t2 inner join concert as t3 on t2.stadium_id = t3.stadium_id|select name from stadium where stadium_id not in (select stadium_id from concert)
concert_singer|What are the names of the stadiums without any concerts?|select t1.name from stadium as t1 left join concert as t2 on t1.stadium_id = t2.stadium_id where t2.concert_id is null|select name from stadium where stadium_id not in (select stadium_id from concert)
concert_singer|Show countries where a singer above age 40 and a singer below 30 are from.|select distinct t2.country from singer_in_concert as t1 inner join singer as t2 on t1.singer_id = t2.singer_id where t2.age > 40 and t2.singer_id in ( select singer_id from singer_in_concert inner join singer on singer_in_concert.singer_id = singer.singer_id where singer.age < 30 );|select country from singer where age > 40 intersect select country from singer where age < 30
concert_singer|Show names for all stadiums except for stadiums having a concert in year 2014.|select name from stadium where stadium_id not in (select stadium_id from concert where year = '2014');|select name from stadium except select t2.name from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where t1.year = 2014
concert_singer|What are the names of all stadiums that did not have a concert in 2014?|select t1.name from stadium as t1 where t1.stadium_id not in (select t2.stadium_id from concert as t2 where t2.year = 2014);|select name from stadium except select t2.name from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where t1.year = 2014
concert_singer|Show the name and theme for all concerts and the number of singers in each concert.|"select c.concert_name, c.theme, count(sic.singer_id) as ""number of singers"" from concert as c join singer_in_concert as sic on c.concert_id = sic.concert_id group by c.concert_id;"|select t2.concert_name , t2.theme , count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id = t2.concert_id group by t2.concert_id
concert_singer|What are the names , themes , and number of singers for every concert ?|select c.concert_name, c.theme, count(distinct sic.singer_id) as number_of_singers from concert as c join singer_in_concert as sic on c.concert_id = sic.concert_id group by c.concert_name, c.theme order by c.concert_name;|select t2.concert_name , t2.theme , count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id = t2.concert_id group by t2.concert_id
concert_singer|List singer names and number of concerts for each singer.|select s.name, count(distinct sic.concert_id) as number_of_concerts from singer as s left join singer_in_concert as sic on s.singer_id = sic.singer_id group by s.singer_id, s.name order by s.name;|select t2.name , count(*) from singer_in_concert as t1 join singer as t2 on t1.singer_id = t2.singer_id group by t2.singer_id
